SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Actual_Churn,Churn_Probability,Churn_Risk
0,1.082901717096109,0.37069050409213133,0.9966643485409488,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,False,0,0.0058835223,Low Risk
0,-1.0357842692720256,0.4571156568530201,-0.7766445486832351,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.69818777,Medium Risk
0,0.8791819107145575,-1.485788258098502,-0.5311237243549128,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.02789255,Low Risk
0,-1.2395040756535771,-1.4675060142452372,-0.99028957865806,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1,0.046617806,Low Risk
0,1.5718292524118322,1.3413114504836532,2.325807765275396,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,0,0.10445682,Low Risk
0,1.1236456783724194,1.3662417830108327,1.814670027583432,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.48823968,Medium Risk
0,0.02355872391204165,-1.3511644624517327,-0.6542812052376643,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,0,0.03883913,Low Risk
0,-1.0357842692720256,-1.4675060142452372,-0.9385824077483036,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0,0.06826604,Low Risk
0,-0.7505765403378537,0.7463075141683023,-0.4520849899821925,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1,0.49416715,Medium Risk
0,1.6125732136881425,-0.11960603560906545,0.9295597350991915,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0,0.0045137657,Low Risk
1,-1.1580161531009565,0.17955795471708852,-0.8836766277165702,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.6537416,Medium Risk
0,-0.9542963467194051,-1.499084435446331,-0.927640958613816,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,0,0.06217418,Low Risk
0,-0.7505765403378537,0.4421574573367123,-0.5121747227288546,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0,0.7080043,High Risk
0,0.18653456901728277,-0.8176553463700914,-0.334398233666685,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,0,0.0639174,Low Risk
0,-0.09867315991688919,-0.4520104693047921,-0.31844930680330874,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,1,0.12373635,Low Risk
0,-1.2395040756535771,0.8510149107824564,-0.93315580192757,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.8812,High Risk
0,-1.1987601143772668,0.3391120828910372,-0.9151112346049672,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0.6679562,Medium Risk
0,-0.42462485012737144,0.48370801154867815,-0.24395480332112152,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.64501417,Medium Risk
0,-0.9542963467194051,0.11473909014642174,-0.7528204255678184,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,0,0.060421627,Low Risk
0,1.5718292524118322,-1.304627841734331,-0.16994560605054462,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.0017019307,Low Risk
0,1.5310852911355222,-1.5157046571311175,-0.3890834199658682,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,0,0.0059258677,Low Risk
0,-1.1580161531009565,-0.013236616826432828,-0.8957431048870637,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,0,0.43699393,Medium Risk
0,-1.2802480369298874,-0.5151673117069804,-0.9856129915279965,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0,0.4006259,Medium Risk
0,0.6347181430566958,1.278154608081465,1.215140381258622,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False,1,0.14499494,Low Risk
0,-1.1580161531009565,-1.4907743246039378,-0.9812231762502486,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0,0.11107473,Low Risk
1,0.22727853029359305,0.3374500607225587,0.25877831316068106,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.45007122,Medium Risk
0,-1.0357842692720256,-1.372770750641955,-0.9310381020950884,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0,0.19485945,Low Risk
0,0.9199258719908678,-0.3173866736580229,0.3690972388090135,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,0,0.011161751,Low Risk
0,0.6754621043330061,-0.17279074500038175,0.3030955940300073,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0.1034606,Low Risk
1,1.2051336009250397,1.2947748297662514,1.8088904717906187,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,1,0.216763,Low Risk
1,0.6347181430566958,-0.19439703319060395,0.22341713783289124,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,0,0.0895953,Low Risk
0,-1.2802480369298874,0.14299346701055832,-0.9768774797190105,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.9204864,High Risk
0,-1.2802480369298874,-1.4974224132778524,-0.9986500811217108,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0,0.57536185,Medium Risk
0,1.368109446030281,-0.04980110453296304,0.8410795889733245,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,0,0.011959368,Low Risk
1,-1.2802480369298874,0.18786806555948168,-0.9762818766411252,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0.73521256,High Risk
0,-1.1987601143772668,0.8510149107824564,-0.8889267585512638,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,0,0.5081466,Medium Risk
0,-0.13941712119319946,-0.3173866736580229,-0.29255160260192054,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0,0.08006305,Low Risk
0,1.1643896396487294,-0.08802761440797156,0.6598177189368624,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0,0.0019126986,Low Risk
0,-1.2802480369298874,-1.4691680364137156,-0.9982750717763755,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1,0.19076288,Low Risk
0,-0.8728084241667845,-0.6514531295222281,-0.7902993007280896,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.24628265,Low Risk
0,0.4717422979514547,-0.10963390259819375,0.19363698393862036,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,0,0.022477506,Low Risk
0,0.6347181430566958,-1.5140426349626388,-0.6301041321501674,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.009206299,Low Risk
0,1.4088534073065913,1.5424161328695678,2.3151310286199682,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0,0.1972908,Low Risk
0,1.5718292524118322,1.0920081252118583,1.9432320549136628,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,0,0.024740363,Low Risk
0,0.8384379494382472,-1.494098368940895,-0.5442931701881571,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0,0.054574545,Low Risk
0,0.6754621043330061,1.4759352461304225,1.3267166911824901,True,False,True,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,True,False,False,0,0.27223316,Low Risk
0,1.2866215234776603,0.17789593254861,0.9694651413175145,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,0,0.035948593,Low Risk
0,1.082901717096109,0.5086383440758576,1.0632174776513303,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,0,0.035061337,Low Risk
0,1.5310852911355222,0.7197151594726443,1.6177901212824193,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,0.006703301,Low Risk
0,0.6347181430566958,0.028313937385533002,0.3579572553152307,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,0,0.09999794,Low Risk
0,-1.2395040756535771,-0.48192686833740767,-0.9664433961693882,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.48526967,Medium Risk
0,0.06430268518835193,-1.485788258098502,-0.7064295636125208,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0,0.02078991,Low Risk
1,0.797693988161937,1.3861860490325761,1.4729262171167328,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,0,0.3650838,Low Risk
1,-0.9950403079957154,0.526920587929123,-0.727959511909416,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1,0.6703271,Medium Risk
0,-0.38388088885106114,0.874283221141157,-0.0375011290274316,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0,0.010278808,Low Risk
0,-0.38388088885106114,-1.0038018292396984,-0.6484795900715952,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,0,0.016950909,Low Risk
0,-1.2802480369298874,-0.498547090022194,-0.9853923977954464,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.24119861,Low Risk
0,-0.9542963467194051,0.3673664597551738,-0.7216946499049915,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0,0.5004044,Medium Risk
0,0.9606698332671781,-1.495760391109374,-0.5132776913916053,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,0,0.014939435,Low Risk
0,-1.076528230548336,0.3357880385540801,-0.8000936624533166,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.66345614,Medium Risk
0,-0.3023929662984406,-0.9888436297233908,-0.6348027786534856,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0,0.01972024,Low Risk
0,-0.3023929662984406,-0.34896509485911703,-0.43523162881536065,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,0.09543377,Low Risk
0,-0.46536881140368175,0.2958995065105929,-0.3196846317055896,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.7307351,High Risk
0,1.6125732136881425,1.3529456056630036,2.350756916426818,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,0,0.014841524,Low Risk
0,0.4309983366751445,-1.3478404181147754,-0.5317855055525633,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.009803446,Low Risk
0,-0.8728084241667845,-0.4586585579787067,-0.7507247851085919,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.070716,Low Risk
0,1.0014137945434884,-1.509056568457203,-0.5389989206069534,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0,0.113888524,Low Risk
0,-0.38388088885106114,-1.4791401694245876,-0.7997407124812363,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,0,0.020178694,Low Risk
0,1.6125732136881425,-1.346178395946297,-0.28238223153135844,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.0014185031,Low Risk
0,0.4717422979514547,-0.48691293484284354,-0.06361942696137005,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.055093605,Low Risk
0,1.6125732136881425,-1.304627841734331,-0.18335770498959394,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0,0.0010421368,Low Risk
0,-1.2802480369298874,0.3141817503638577,-0.9746053642737439,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0.8559457,High Risk
0,0.9606698332671781,-0.6564391960276642,0.12212049584586022,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0,0.008717172,Low Risk
1,0.06430268518835193,0.4920181223910713,0.1919163528247293,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0.37933457,Low Risk
0,1.4903413298592119,-1.336206262935425,-0.2670289077458677,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0,0.0052514877,Low Risk
1,-0.22090504374582004,0.35573230457582355,-0.17177653403071083,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.40864146,Medium Risk
0,-0.9135523854430948,1.1335586794238242,-0.5375209425988674,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False,0,0.81346774,High Risk
0,0.2680224915699033,-0.7860769251689975,-0.25694777416832554,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0,0.07667914,Low Risk
0,1.6125732136881425,0.8327326669291911,1.8881056811493788,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,0.0071848645,Low Risk
0,0.6347181430566958,-0.6647493068700573,-0.0788624538805856,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,0.1982474,Low Risk
0,-0.3431369275747509,-1.4641819699082799,-0.7924831786803362,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.0033833843,Low Risk
0,-0.22090504374582004,-1.5173666792995961,-0.7702914491857906,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0,0.013690947,Low Risk
0,0.06430268518835193,0.09479482412467834,0.02470630355171203,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0,0.019035257,Low Risk
1,-0.26164900502213034,0.8792692876465931,0.030221146865465898,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.5898422,Medium Risk
0,0.5532302205040753,0.1928541320649173,0.41813522555491295,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,0,0.06136249,Low Risk
0,1.5718292524118322,-1.494098368940895,-0.4221945392216465,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.0037558225,Low Risk
0,0.4309983366751445,0.35074623807038746,0.3874065186106764,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.4523192,Medium Risk
0,-0.9135523854430948,-0.3190486958265014,-0.7742621363716935,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1,0.22485799,Low Risk
0,-1.2802480369298874,0.18121997688556707,-0.9763701141341452,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.8518723,High Risk
